iter	Passed	Remaining
755	4539	1465
756	4544	1458
757	4550	1452
758	4555	1446
759	4561	1440
760	4566	1434
761	4572	1428
762	4578	1422
763	4583	1415
764	4589	1409
765	4594	1403
766	4600	1397
767	4605	1391
768	4611	1385
769	4616	1379
770	4622	1372
771	4627	1366
772	4633	1360
773	4638	1354
774	4644	1348
775	4649	1342
776	4655	1336
777	4660	1329
778	4666	1323
779	4671	1317
780	4677	1311
781	4683	1305
782	4689	1299
783	4695	1293
784	4700	1287
785	4705	1281
786	4711	1275
787	4717	1269
788	4723	1263
789	4728	1256
790	4734	1250
791	4740	1244
792	4746	1238
793	4752	1232
794	4758	1226
795	4764	1220
796	4769	1214
797	4775	1208
798	4781	1202
799	4787	1196
800	4792	1190
801	4798	1184
802	4804	1178
803	4810	1172
804	4815	1166
805	4821	1160
806	4826	1154
807	4832	1148
808	4837	1142
809	4843	1136
810	4848	1129
811	4854	1123
812	4859	1117
813	4865	1111
814	4870	1105
815	4876	1099
816	4881	1093
817	4887	1087
818	4893	1081
819	4898	1075
820	4904	1069
821	4910	1063
822	4915	1057
823	4920	1051
824	4926	1045
825	4931	1038
826	4937	1032
827	4942	1026
828	4948	1020
829	4953	1014
830	4959	1008
831	4964	1002
832	4970	996
833	4975	990
834	4980	984
835	4986	978
836	4993	972
837	4998	966
838	5004	960
839	5009	954
840	5015	948
841	5020	942
842	5026	936
843	5031	929
844	5037	924
845	5043	918
846	5048	912
847	5054	905
848	5059	899
849	5065	893
850	5070	887
851	5076	881
852	5081	875
853	5087	869
854	5093	863
855	5098	857
856	5104	851
857	5109	845
858	5115	839
859	5120	833
860	5126	827
861	5132	821
862	5138	815
863	5144	809
864	5149	803
865	5155	797
866	5160	791
867	5166	785
868	5172	779
869	5177	773
870	5183	767
871	5188	761
872	5194	755
873	5200	749
874	5206	743
875	5212	737
876	5217	731
877	5223	725
878	5228	719
879	5234	713
880	5240	707
881	5245	701
882	5251	695
883	5257	689
884	5264	684
885	5270	678
886	5276	672
887	5281	666
888	5287	660
889	5293	654
890	5299	648
891	5304	642
892	5310	636
893	5315	630
894	5321	624
895	5327	618
896	5334	612
897	5340	606
898	5346	600
899	5352	594
900	5358	588
901	5365	582
902	5371	577
903	5378	571
904	5384	565
905	5392	559
906	5399	553
907	5406	547
908	5412	541
909	5419	535
910	5425	530
911	5431	524
912	5437	518
913	5443	512
914	5448	506
915	5454	500
916	5460	494
